dram_socket1,core_socket1,pkg_socket1,dram_socket2,core_socket2,pkg_socket2,timestamp
52665.375000,0.000000,108472.218750,21039.296875,0.000000,205654.031250,1624605563200742
52665.375000,0.000000,108472.234375,21039.298828,0.000000,205654.046875,1624605563201928
52665.375000,0.000000,108472.242188,21039.302734,0.000000,205654.078125,1624605563203085
52665.375000,0.000000,108472.257812,21039.304688,0.000000,205654.093750,1624605563204241
52665.375000,0.000000,108472.265625,21039.304688,0.000000,205654.109375,1624605563205400
52665.375000,0.000000,108472.281250,21039.306641,0.000000,205654.125000,1624605563206554
52665.375000,0.000000,108472.289062,21039.308594,0.000000,205654.140625,1624605563207716
52665.375000,0.000000,108472.296875,21039.310547,0.000000,205654.156250,1624605563208869
52665.375000,0.000000,108472.304688,21039.316406,0.000000,205654.187500,1624605563210024
52665.375000,0.000000,108472.328125,21039.320312,0.000000,205654.203125,1624605563211180
52665.375000,0.000000,108472.335938,21039.322266,0.000000,205654.218750,1624605563212337
52665.375000,0.000000,108472.343750,21039.326172,0.000000,205654.234375,1624605563213491
52665.375000,0.000000,108472.351562,21039.328125,0.000000,205654.250000,1624605563214656
52665.375000,0.000000,108472.359375,21039.332031,0.000000,205654.265625,1624605563215810
52665.375000,0.000000,108472.367188,21039.335938,0.000000,205654.281250,1624605563216962
52665.375000,0.000000,108472.382812,21039.343750,0.000000,205654.312500,1624605563218115
52665.375000,0.000000,108472.398438,21039.347656,0.000000,205654.343750,1624605563219274
52665.375000,0.000000,108472.406250,21039.353516,0.000000,205654.343750,1624605563220429
52665.375000,0.000000,108472.414062,21039.357422,0.000000,205654.359375,1624605563221582
52665.375000,0.000000,108472.421875,21039.361328,0.000000,205654.390625,1624605563222736
52665.375000,0.000000,108472.429688,21039.365234,0.000000,205654.390625,1624605563223890
52665.375000,0.000000,108472.445312,21039.373047,0.000000,205654.421875,1624605563225044
52665.375000,0.000000,108472.460938,21039.376953,0.000000,205654.437500,1624605563226215
52665.375000,0.000000,108472.468750,21039.380859,0.000000,205654.453125,1624605563227375
52665.375000,0.000000,108472.476562,21039.384766,0.000000,205654.468750,1624605563228529
52665.375000,0.000000,108472.492188,21039.388672,0.000000,205654.500000,1624605563229682
52665.375000,0.000000,108472.500000,21039.392578,0.000000,205654.515625,1624605563230836
52665.375000,0.000000,108472.507812,21039.396484,0.000000,205654.531250,1624605563231989
52665.375000,0.000000,108472.515625,21039.406250,0.000000,205654.562500,1624605563233143
52665.375000,0.000000,108472.539062,21039.410156,0.000000,205654.578125,1624605563234297
52665.375000,0.000000,108472.546875,21039.414062,0.000000,205654.593750,1624605563235451
52665.375000,0.000000,108472.554688,21039.417969,0.000000,205654.609375,1624605563236605
52665.375000,0.000000,108472.562500,21039.421875,0.000000,205654.625000,1624605563237758
52665.375000,0.000000,108472.570312,21039.425781,0.000000,205654.640625,1624605563238913
52665.375000,0.000000,108472.578125,21039.429688,0.000000,205654.656250,1624605563240065
52665.375000,0.000000,108472.585938,21039.437500,0.000000,205654.687500,1624605563241219
52665.375000,0.000000,108472.609375,21039.441406,0.000000,205654.703125,1624605563242373
52665.375000,0.000000,108472.617188,21039.445312,0.000000,205654.718750,1624605563243528
52665.375000,0.000000,108472.625000,21039.451172,0.000000,205654.734375,1624605563244682
52665.375000,0.000000,108472.632812,21039.455078,0.000000,205654.750000,1624605563245835
52665.375000,0.000000,108472.640625,21039.457031,0.000000,205654.765625,1624605563246989
52665.375000,0.000000,108472.656250,21039.464844,0.000000,205654.796875,1624605563248143
52665.375000,0.000000,108472.671875,21039.468750,0.000000,205654.812500,1624605563249300
52665.375000,0.000000,108472.679688,21039.472656,0.000000,205654.828125,1624605563250454
52665.375000,0.000000,108472.687500,21039.476562,0.000000,205654.843750,1624605563251623
52665.375000,0.000000,108472.695312,21039.480469,0.000000,205654.859375,1624605563252775
52665.375000,0.000000,108472.703125,21039.484375,0.000000,205654.875000,1624605563253928
52665.375000,0.000000,108472.710938,21039.486328,0.000000,205654.890625,1624605563255081
52665.375000,0.000000,108472.718750,21039.494141,0.000000,205654.921875,1624605563256235
52665.375000,0.000000,108472.734375,21039.496094,0.000000,205654.937500,1624605563257389
52665.375000,0.000000,108472.742188,21039.500000,0.000000,205654.953125,1624605563258542
52665.375000,0.000000,108472.750000,21039.503906,0.000000,205654.968750,1624605563259702
52665.375000,0.000000,108472.765625,21039.507812,0.000000,205655.000000,1624605563260857
52665.375000,0.000000,108472.773438,21039.511719,0.000000,205655.015625,1624605563262011
52665.375000,0.000000,108472.781250,21039.515625,0.000000,205655.031250,1624605563263168
52665.375000,0.000000,108472.796875,21039.523438,0.000000,205655.062500,1624605563264322
52665.375000,0.000000,108472.804688,21039.525391,0.000000,205655.078125,1624605563265476
52665.375000,0.000000,108472.820312,21039.529297,0.000000,205655.093750,1624605563266629
52665.375000,0.000000,108472.828125,21039.531250,0.000000,205655.109375,1624605563267784
52665.375000,0.000000,108472.835938,21039.535156,0.000000,205655.125000,1624605563268937
52665.378906,0.000000,108472.843750,21039.537109,0.000000,205655.140625,1624605563270093
52665.382812,0.000000,108472.851562,21039.546875,0.000000,205655.171875,1624605563271250
52665.390625,0.000000,108472.890625,21039.552734,0.000000,205655.187500,1624605563272407
52665.394531,0.000000,108472.914062,21039.560547,0.000000,205655.203125,1624605563273565
52665.394531,0.000000,108472.929688,21039.560547,0.000000,205655.218750,1624605563274724
52665.398438,0.000000,108472.945312,21039.562500,0.000000,205655.234375,1624605563275906
52665.398438,0.000000,108472.953125,21039.564453,0.000000,205655.250000,1624605563277088
52665.398438,0.000000,108472.968750,21039.568359,0.000000,205655.281250,1624605563278268
52665.398438,0.000000,108472.992188,21039.570312,0.000000,205655.296875,1624605563279450
52665.398438,0.000000,108473.000000,21039.572266,0.000000,205655.312500,1624605563280620
52665.398438,0.000000,108473.015625,21039.574219,0.000000,205655.328125,1624605563281789
52665.398438,0.000000,108473.023438,21039.576172,0.000000,205655.343750,1624605563282942
52665.398438,0.000000,108473.039062,21039.576172,0.000000,205655.359375,1624605563284110
52665.398438,0.000000,108473.046875,21039.580078,0.000000,205655.390625,1624605563285280
52665.398438,0.000000,108473.070312,21039.583984,0.000000,205655.406250,1624605563286437
52665.402344,0.000000,108473.085938,21039.585938,0.000000,205655.421875,1624605563287607
52665.402344,0.000000,108473.101562,21039.587891,0.000000,205655.437500,1624605563288766
