dram_socket1,core_socket1,pkg_socket1,dram_socket2,core_socket2,pkg_socket2,timestamp
57865.343750,0.000000,2664.207275,47512.160156,0.000000,173548.093750,1624731462748223
57865.343750,0.000000,2664.228027,47512.164062,0.000000,173548.109375,1624731462749321
57865.343750,0.000000,2664.248047,47512.167969,0.000000,173548.125000,1624731462750415
57865.347656,0.000000,2664.270020,47512.171875,0.000000,173548.156250,1624731462751509
57865.347656,0.000000,2664.290039,47512.175781,0.000000,173548.171875,1624731462752614
57865.351562,0.000000,2664.311768,47512.179688,0.000000,173548.203125,1624731462753713
57865.351562,0.000000,2664.333008,47512.183594,0.000000,173548.218750,1624731462754816
57865.355469,0.000000,2664.352051,47512.191406,0.000000,173548.265625,1624731462755920
57865.359375,0.000000,2664.393799,47512.191406,0.000000,173548.281250,1624731462757026
57865.363281,0.000000,2664.413574,47512.203125,0.000000,173548.312500,1624731462758131
57865.363281,0.000000,2664.432861,47512.207031,0.000000,173548.328125,1624731462759261
57865.367188,0.000000,2664.454102,47512.210938,0.000000,173548.343750,1624731462760357
57865.367188,0.000000,2664.474121,47512.214844,0.000000,173548.375000,1624731462761445
57865.371094,0.000000,2664.492188,47512.218750,0.000000,173548.390625,1624731462762546
57865.375000,0.000000,2664.510742,47512.222656,0.000000,173548.421875,1624731462763649
57865.375000,0.000000,2664.531982,47512.226562,0.000000,173548.437500,1624731462764765
57865.378906,0.000000,2664.553223,47512.230469,0.000000,173548.468750,1624731462765857
57865.378906,0.000000,2664.574707,47512.234375,0.000000,173548.484375,1624731462766957
57865.382812,0.000000,2664.614014,47512.242188,0.000000,173548.531250,1624731462768085
57865.386719,0.000000,2664.636475,47512.246094,0.000000,173548.546875,1624731462769201
57865.390625,0.000000,2664.655762,47512.250000,0.000000,173548.578125,1624731462770300
57865.390625,0.000000,2664.675293,47512.253906,0.000000,173548.593750,1624731462771424
57865.394531,0.000000,2664.692871,47512.257812,0.000000,173548.609375,1624731462772525
57865.398438,0.000000,2664.713379,47512.261719,0.000000,173548.640625,1624731462773623
57865.402344,0.000000,2664.734863,47512.265625,0.000000,173548.656250,1624731462774675
57865.406250,0.000000,2664.754150,47512.269531,0.000000,173548.687500,1624731462775768
57865.410156,0.000000,2664.772949,47512.273438,0.000000,173548.703125,1624731462776871
57865.414062,0.000000,2664.792236,47512.277344,0.000000,173548.734375,1624731462777961
57865.417969,0.000000,2664.828125,47512.285156,0.000000,173548.781250,1624731462779118
57865.421875,0.000000,2664.845703,47512.289062,0.000000,173548.796875,1624731462780231
57865.425781,0.000000,2664.866943,47512.292969,0.000000,173548.828125,1624731462781375
57865.425781,0.000000,2664.887695,47512.296875,0.000000,173548.843750,1624731462782481
57865.429688,0.000000,2664.906738,47512.300781,0.000000,173548.875000,1624731462783593
57865.433594,0.000000,2664.927002,47512.304688,0.000000,173548.890625,1624731462784709
57865.433594,0.000000,2664.944092,47512.308594,0.000000,173548.906250,1624731462785796
57865.437500,0.000000,2664.962891,47512.312500,0.000000,173548.937500,1624731462786892
57865.441406,0.000000,2664.982422,47512.324219,0.000000,173548.984375,1624731462788020
57865.449219,0.000000,2665.020020,47512.328125,0.000000,173549.000000,1624731462789138
57865.449219,0.000000,2665.039551,47512.332031,0.000000,173549.015625,1624731462790230
57865.453125,0.000000,2665.057617,47512.335938,0.000000,173549.046875,1624731462791329
